date,amount,cost_per_gram
2024-03-31T17:20:25.795,0.1,22.2,194be513-23fc-48da-8411-2d51c3bcf630
2024-03-31T18:22:13.092,0.1,22.2,3ee849d5-cea1-4e34-90cb-2fadcca62bd5
2024-03-31T20:02:36.961,0.08,22.2,34aec210-9c2d-4845-9813-f99b3e33ab1c
2024-03-31T20:22:31.654,0.08,22.2,9b38b201-0fa3-423b-aef4-3ce4f22f1257
2024-03-31T21:45:28.903,0.08,22.2,36bb850d-e43c-476b-95cc-c2a3d794381c
2024-03-31T23:44:33.753,0.08,22.2,5667fa0f-ed1a-4401-9257-dd71edb2603b
2024-04-01T00:19:38.536,0.08,22.2,72a03e71-2500-47b3-a3f3-4fe5652bade2
2024-04-01T09:21:42.527,0.08,22.2,f23d3c95-9522-445a-a97d-529cc153dbf0
2024-04-01T09:45:25.308,0.08,22.2,77d6b1d5-a1aa-4052-bbd5-120aff45f291
2024-04-01T10:00:34.058,0.08,22.2,fdca2c6c-d9d7-4d66-8e37-2d713deb1f45
2024-04-01T10:25:51.381,0.08,22.2,0dece020-720d-42c9-8974-0dba46df0b60
2024-04-01T12:08:12.386,0.08,22.2,9b6e510f-02a6-437f-a31f-488e476010d5
2024-04-01T12:22:18.945,0.08,22.2,8de5e0f4-1ffa-4fb3-a32b-74aa4bbcbee1
2024-04-01T14:39:14.338,0.08,22.2,d0405a97-d183-4b09-858f-ff40189e1ed9
2024-04-01T15:08:21.558,0.08,22.2,2c6c21ce-3ab0-4fe3-ab6c-701290a1148f
2024-04-01T15:39:56.018,0.08,22.2,222c06dd-9a74-4d40-ad72-5a97d65115a1
2024-04-01T17:17:03.564,0.08,22.2,767f552f-f0ff-47f2-bbe7-d0e605cec1af
2024-04-01T17:45:31.846,0.08,22.2,b34703cf-73e6-4856-bbc1-47e3e1b01aa4
2024-04-01T18:09:35.287,0.08,22.2,71246387-1ecc-4ffd-962b-05a94463432a
2024-04-01T21:36:54.406,0.08,22.2,b34aef9d-45ff-485f-a9f4-15d34d6fd859
2024-04-01T21:46:54.887,0.08,22.2,838dca04-c039-4602-806c-90a0a2b0f324
2024-04-01T21:54:08.843,0.08,22.2,38acc6ae-7c41-46d3-9a51-25035a8fed81
2024-04-01T22:45:29.045,0.08,22.2,2baa3662-24bc-47f5-a720-4bca194b6d7c
2024-04-02T08:54:22.563,0.08,22.2,8c24f2cc-18bb-49b6-ab02-41e8708d0420
2024-04-02T09:06:44.258,0.08,22.2,11b16d1e-618a-44f6-9647-878d404388df
2024-04-02T09:58:00.509,0.08,22.2,ca686be7-96a8-4d30-80dc-7c6362aef87e
2024-04-02T11:43:24.287,0.08,22.2,8e731ad2-9ff3-4802-acf7-b1dc77b26fce
2024-04-02T11:59:08.411,0.08,22.2,3e3d81c8-a7d8-42ce-a56c-e443d0df7f98
2024-04-02T12:07:59.15,0.08,22.2,7e6b508a-6aab-42fd-bbc9-0a699f6807ae
2024-04-02T12:37:46.442,0.08,22.2,4b2cb40e-b75d-41bd-ae39-41204c202146
2024-04-02T12:59:12.307,0.08,22.2,71023473-dd94-47de-a936-d56205e5bbbb
2024-04-02T14:16:39.374,0.08,22.2,88dff8da-36c4-40f2-b50e-55ba12933287
2024-04-02T14:43:47.388,0.08,22.2,25a5253f-93ed-4393-95d2-661893abb502
2024-04-02T16:46:35.496,0.08,22.2,a668b071-e033-461d-9f9f-7d1cdaea4e0c
